Symbol,Company Name,Industry
360ONE.NS,360 ONE WAM Ltd.,Financial Services
ABB.NS,ABB India Ltd.,Capital Goods
ACC.NS,ACC Ltd.,Construction Materials
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power
ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN.NS,Adani Green Energy Ltd.,Power
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER.NS,Adani Power Ltd.,Power
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables
ASTRAL.NS,Astral Ltd.,Capital Goods
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
DMART.NS,Avenue Supermarts Ltd.,Consumer Services
AXISBANK.NS,Axis Bank Ltd.,Financial Services
BSE.NS,BSE Ltd.,Financial Services
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services
BANKBARODA.NS,Bank of Baroda,Financial Services
BANKINDIA.NS,Bank of India,Financial Services
BDL.NS,Bharat Dynamics Ltd.,Capital Goods
BEL.NS,Bharat Electronics Ltd.,Capital Goods
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
BIOCON.NS,Biocon Ltd.,Healthcare
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods
CANBK.NS,Canara Bank,Financial Services
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA.NS,Cipla Ltd.,Healthcare
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
COFORGE.NS,Coforge Ltd.,Information Technology
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR.NS,Container Corporation of India Ltd.,Services
COROMANDEL.NS,Coromandel International Ltd.,Chemicals
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods
DLF.NS,DLF Ltd.,Realty
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components
ETERNAL.NS,Eternal Ltd.,Consumer Services
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare
GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GMRAIRPORT.NS,GMR Airports Ltd.,Services
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJPROP.NS,Godrej Properties Ltd.,Realty
GRASIM.NS,Grasim Industries Ltd.,Construction Materials
HCLTECH.NS,HCL Technologies Ltd.,Information Technology
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services
HAVELLS.NS,Havells India Ltd.,Consumer Durables
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components
HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining
HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services
IRB.NS,IRB Infrastructure Developers Ltd.,Construction
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services
ITC.NS,ITC Ltd.,Fast Moving Consumer Goods
INDIANB.NS,Indian Bank,Financial Services
INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services
IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services
IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services
INFY.NS,Infosys Ltd.,Information Technology
INDIGO.NS,InterGlobe Aviation Ltd.,Services
JSWENERGY.NS,JSW Energy Ltd.,Power
JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining
JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services
KEI.NS,KEI Industries Ltd.,Capital Goods
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services
LTF.NS,L&T Finance Ltd.,Financial Services
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services
LTIM.NS,LTIMindtree Ltd.,Information Technology
LT.NS,Larsen & Toubro Ltd.,Construction
LICI.NS,Life Insurance Corporation of India,Financial Services
LODHA.NS,Lodha Developers Ltd.,Realty
LUPIN.NS,Lupin Ltd.,Healthcare
MRF.NS,MRF Ltd.,Automobile and Auto Components
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MANKIND.NS,Mankind Pharma Ltd.,Healthcare
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components
MFSL.NS,Max Financial Services Ltd.,Financial Services
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS.NS,MphasiS Ltd.,Information Technology
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services
NHPC.NS,NHPC Ltd.,Power
NMDC.NS,NMDC Ltd.,Metals & Mining
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power
NTPC.NS,NTPC Ltd.,Power
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels
PAYTM.NS,One 97 Communications Ltd.,Financial Services
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR.NS,PB Fintech Ltd.,Financial Services
PIIND.NS,PI Industries Ltd.,Chemicals
PAGEIND.NS,Page Industries Ltd.,Textiles
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals
POLYCAB.NS,Polycab India Ltd.,Capital Goods
PFC.NS,Power Finance Corporation Ltd.,Financial Services
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty
PNB.NS,Punjab National Bank,Financial Services
RECLTD.NS,REC Ltd.,Financial Services
RVNL.NS,Rail Vikas Nigam Ltd.,Construction
RELIANCE.NS,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services
SRF.NS,SRF Ltd.,Chemicals
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SHREECEM.NS,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services
ENRIN.NS,Siemens Energy India Ltd.,Capital Goods
SIEMENS.NS,Siemens Ltd.,Capital Goods
SOLARINDS.NS,Solar Industries India Ltd.,Chemicals
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SBIN.NS,State Bank of India,Financial Services
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods
SWIGGY.NS,Swiggy Ltd.,Consumer Services
TVSMOTOR.NS,TVS Motor Company Ltd.,Automobile and Auto Components
TATACOMM.NS,Tata Communications Ltd.,Telecommunication
TCS.NS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM.NS,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TATAPOWER.NS,Tata Power Co. Ltd.,Power
TATASTEEL.NS,Tata Steel Ltd.,Metals & Mining
TATATECH.NS,Tata Technologies Ltd.,Information Technology
TECHM.NS,Tech Mahindra Ltd.,Information Technology
TITAN.NS,Titan Company Ltd.,Consumer Durables
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare
TORNTPOWER.NS,Torrent Power Ltd.,Power
TRENT.NS,Trent Ltd.,Consumer Services
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components
UPL.NS,UPL Ltd.,Chemicals
ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials
UNIONBANK.NS,Union Bank of India,Financial Services
UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods
VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL.NS,Vedanta Ltd.,Metals & Mining
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services
IDEA.NS,Vodafone Idea Ltd.,Telecommunication
VOLTAS.NS,Voltas Ltd.,Consumer Durables
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods
WIPRO.NS,Wipro Ltd.,Information Technology
YESBANK.NS,Yes Bank Ltd.,Financial Services
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare
